brand,image,colours
adage_studio_project_x_unrefyned,last_three_10.jpg,White
adage_studio_project_x_unrefyned,last_three_2.jpg,Blue
adage_studio_project_x_unrefyned,last_three_5.jpg,Grey
adage_studio_project_x_unrefyned,last_three_7.jpg,"Grey, White"
adage_studio_project_x_unrefyned,last_three_9.jpg,White
adama_paris,adama_paris_1.jpg,"Yellow, Orange"
adama_paris,adama_paris_10.jpg,"Yellow, Orange"
adama_paris,adama_paris_15.jpg,"Black, Cream/Khaki/Beige, Brown"
adama_paris,adama_paris_17.jpg,"Orange, Red"
adama_paris,adama_paris_18.jpg,Black
adama_paris,adama_paris_19.jpg,Brown
adama_paris,adama_paris_22.jpg,"Orange, Brown"
adama_paris,adama_paris_23.jpg,"Yellow, Brown, Black"
adama_paris,adama_paris_3.jpg,Orange
adama_paris,adama_paris_4.jpg,"Yellow, Orange"
adama_paris,adama_paris_6.jpg,"Yellow, Brown"
adama_paris,adama_paris_8.jpg,"Cream/Khaki/Beige, Orange"
adama_paris,adama_paris_9.jpg,Yellow
ajabeng,ajabeng_1.jpg,"Cream/Khaki/Beige, Orange, Yellow"
ajabeng,ajabeng_10.jpg,"Grey, Black, Pink, Brown"
ajabeng,ajabeng_11.jpg,Grey
ajabeng,ajabeng_12.jpg,"Grey, Black"
ajabeng,ajabeng_13.jpg,"Grey, Black"
ajabeng,ajabeng_14.jpg,"Grey, Blue, Black"
ajabeng,ajabeng_15.jpg,"Grey, Black"
ajabeng,ajabeng_2.jpg,Yellow
ajabeng,ajabeng_3.jpg,"Yellow, Orange, Brown"
ajabeng,ajabeng_4.jpg,Blue
ajabeng,ajabeng_5.jpg,"Cream/Khaki/Beige, Brown"
ajabeng,ajabeng_6.jpg,"Cream/Khaki/Beige, White"
ajabeng,ajabeng_7.jpg,"Cream/Khaki/Beige, Yellow"
ajabeng,ajabeng_9.jpg,"Pink, White"
ajanee,ajanee_1.jpg,Red
ajanee,ajanee_10.jpg,"Blue, White"
ajanee,ajanee_11.jpg,"Red, Purple"
ajanee,ajanee_12.jpg,"Cream/Khaki/Beige, Red"
ajanee,ajanee_13.jpg,Blue
ajanee,ajanee_14.jpg,Blue
ajanee,ajanee_15.jpg,"Red, Black"
ajanee,ajanee_16.jpg,"Yellow, Blue"
ajanee,ajanee_18.jpg,Red
ajanee,ajanee_19.jpg,"Red, Black, Pink"
ajanee,ajanee_2.jpg,Cream/Khaki/Beige
ajanee,ajanee_20.jpg,Red
ajanee,ajanee_3.jpg,"Blue, Pink"
ajanee,ajanee_4.jpg,Yellow
ajanee,ajanee_5.jpg,"Yellow, Orange, Cream/Khaki/Beige"
ajanee,ajanee_6.jpg,Cream/Khaki/Beige
ajanee,ajanee_7.jpg,"Grey, Blue, White"
ajanee,ajanee_8.jpg,"Grey, White"
ajanee,ajanee_9.jpg,"Grey, Blue"
babayo,babayo_1.jpg,"Cream/Khaki/Beige, Brown"
babayo,babayo_10.jpg,Cream/Khaki/Beige
babayo,babayo_11.jpg,"Cream/Khaki/Beige, Grey"
babayo,babayo_12.jpg,Cream/Khaki/Beige
babayo,babayo_14.jpg,"Cream/Khaki/Beige, Orange, Brown"
babayo,babayo_17.jpg,"Orange, Red"
babayo,babayo_18.jpg,"Cream/Khaki/Beige, Grey, Orange, Black"
babayo,babayo_19.jpg,"Grey, Black, Pink, Brown"
babayo,babayo_2.jpg,"Cream/Khaki/Beige, Brown"
babayo,babayo_20.jpg,"Black, Pink, White"
babayo,babayo_21.jpg,"Black, Pink"
babayo,babayo_23.jpg,"Blue, Black, Pink"
babayo,babayo_24.jpg,"Cream/Khaki/Beige, Black"
babayo,babayo_25.jpg,"Grey, Black"
babayo,babayo_26.jpg,Cream/Khaki/Beige
babayo,babayo_27.jpg,Cream/Khaki/Beige
babayo,babayo_28.jpg,Cream/Khaki/Beige
babayo,babayo_29.jpg,"Cream/Khaki/Beige, Pink"
babayo,babayo_31.jpg,Cream/Khaki/Beige
babayo,babayo_32.jpg,Cream/Khaki/Beige
babayo,babayo_33.jpg,Cream/Khaki/Beige
babayo,babayo_4.jpg,"Cream/Khaki/Beige, White"
babayo,babayo_5.jpg,"Brown, White"
babayo,babayo_6.jpg,"Grey, Cream/Khaki/Beige, Brown"
babayo,babayo_7.jpg,"Cream/Khaki/Beige, Brown"
babayo,babayo_8.jpg,White
babayo,babayo_9.jpg,"Cream/Khaki/Beige, White"
boyedoe,boyedoe_1.jpg,"Cream/Khaki/Beige, Brown"
boyedoe,boyedoe_10.jpg,Blue
boyedoe,boyedoe_11.jpg,"Blue, White"
boyedoe,boyedoe_12.jpg,Blue
boyedoe,boyedoe_13.jpg,Blue
boyedoe,boyedoe_14.jpg,Blue
boyedoe,boyedoe_15.jpg,"Blue, White"
boyedoe,boyedoe_16.jpg,"Grey, Blue"
boyedoe,boyedoe_17.jpg,Grey
boyedoe,boyedoe_18.jpg,"Grey, White"
boyedoe,boyedoe_19.jpg,"Cream/Khaki/Beige, Purple, Blue, Pink"
boyedoe,boyedoe_2.jpg,Pink
boyedoe,boyedoe_20.jpg,"Blue, Purple, Orange, Red"
boyedoe,boyedoe_21.jpg,"Blue, Pink"
boyedoe,boyedoe_23.jpg,"Blue, Purple, Grey, Orange"
boyedoe,boyedoe_24.jpg,"Grey, Orange, Purple"
boyedoe,boyedoe_25.jpg,"Orange, Blue, White"
boyedoe,boyedoe_26.jpg,"Grey, Orange, Blue"
boyedoe,boyedoe_28.jpg,"Grey, Green"
boyedoe,boyedoe_3.jpg,"Cream/Khaki/Beige, Brown"
boyedoe,boyedoe_4.jpg,"Cream/Khaki/Beige, Pink"
boyedoe,boyedoe_6.jpg,"Red, Orange, Brown"
boyedoe,boyedoe_7.jpg,"Cream/Khaki/Beige, Grey, Blue"
boyedoe,boyedoe_8.jpg,"Brown, Blue"
boyedoe,boyedoe_9.jpg,"White, Blue, Pink"
cynthia_abila,cynthia_abila_10.jpg,"Grey, Brown, White"
cynthia_abila,cynthia_abila_11.jpg,"Grey, Orange, Black"
cynthia_abila,cynthia_abila_12.jpg,"Orange, Brown"
cynthia_abila,cynthia_abila_14.jpg,"Cream/Khaki/Beige, Orange"
cynthia_abila,cynthia_abila_15.jpg,"Orange, Cream/Khaki/Beige, Brown"
cynthia_abila,cynthia_abila_16.jpg,"Orange, Black, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_17.jpg,"Yellow, Orange, Cream/Khaki/Beige"
cynthia_abila,cynthia_abila_18.jpg,"Green, Orange, Brown"
cynthia_abila,cynthia_abila_19.jpg,Yellow
cynthia_abila,cynthia_abila_21.jpg,"Green, Red"
cynthia_abila,cynthia_abila_22.jpg,"Cream/Khaki/Beige, Blue"
cynthia_abila,cynthia_abila_23.jpg,"Red, White"
cynthia_abila,cynthia_abila_24.jpg,"Cream/Khaki/Beige, Red"
cynthia_abila,cynthia_abila_25.jpg,"Grey, Pink, Black"
cynthia_abila,cynthia_abila_26.jpg,"Cream/Khaki/Beige, Orange"
cynthia_abila,cynthia_abila_3.jpg,"Brown, Pink"
cynthia_abila,cynthia_abila_4.jpg,"Red, Orange, Brown"
cynthia_abila,cynthia_abila_5.jpg,"Yellow, Orange, Pink"
cynthia_abila,cynthia_abila_6.jpg,"Red, Pink"
cynthia_abila,cynthia_abila_7.jpg,"Orange, White"
cynthia_abila,cynthia_abila_8.jpg,"Cream/Khaki/Beige, Black"
cynthia_abila,cynthia_abila_9.jpg,"Cream/Khaki/Beige, White"
desiree_iyama,desiree_iyama_1.jpg,Cream/Khaki/Beige
desiree_iyama,desiree_iyama_10.jpg,"Purple, Pink"
desiree_iyama,desiree_iyama_11.jpg,"Grey, Cream/Khaki/Beige"
desiree_iyama,desiree_iyama_13.jpg,Purple
desiree_iyama,desiree_iyama_14.jpg,Brown
desiree_iyama,desiree_iyama_15.jpg,Pink
desiree_iyama,desiree_iyama_16.jpg,Brown
desiree_iyama,desiree_iyama_17.jpg,Pink
desiree_iyama,desiree_iyama_18.jpg,"Cream/Khaki/Beige, Orange, Purple"
desiree_iyama,desiree_iyama_19.jpg,Yellow
desiree_iyama,desiree_iyama_20.jpg,"Grey, Blue"
desiree_iyama,desiree_iyama_21.jpg,"Cream/Khaki/Beige, Red, Pink"
desiree_iyama,desiree_iyama_22.jpg,"Yellow, Orange, Grey"
desiree_iyama,desiree_iyama_23.jpg,"Orange, Red"
desiree_iyama,desiree_iyama_24.jpg,"Green, Brown, White"
desiree_iyama,desiree_iyama_25.jpg,Cream/Khaki/Beige
desiree_iyama,desiree_iyama_3.jpg,Grey
desiree_iyama,desiree_iyama_4.jpg,"Black, White"
desiree_iyama,desiree_iyama_5.jpg,"Cream/Khaki/Beige, Black"
desiree_iyama,desiree_iyama_6.jpg,White
desiree_iyama,desiree_iyama_7.jpg,"Blue, Black, Brown"
desiree_iyama,desiree_iyama_9.jpg,"Blue, Purple, Pink"
